Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
What is the title of Article 182?,"The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos",182,title,basic,"federal_structure, governance",,,
Explain Article 182 in detail.,"Article 182 (The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos) states: 182. The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council sha...",182,detailed_explanation,intermediate,"federal_structure, governance",,,
Which article deals with federal structure in the Indian Constitution?,"Article 182 (The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos) deals with federal structure.",182,theme_based,intermediate,"federal_structure, governance",,,federal_structure
Which article deals with governance in the Indian Constitution?,"Article 182 (The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos) deals with governance.",182,theme_based,intermediate,"federal_structure, governance",,,governance
What does the Constitution say about chairman?,"According to Article 182 (The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos), 182. The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Counc...",182,keyword_search,intermediate,"federal_structure, governance",chairman,,
What does the Constitution say about council?,"According to Article 182 (The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos), 182. The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Counc...",182,keyword_search,intermediate,"federal_structure, governance",council,,
What does the Constitution say about deputy?,"According to Article 182 (The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos), 182. The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Counc...",182,keyword_search,intermediate,"federal_structure, governance",deputy,,
What does the Constitution say about legislative?,"According to Article 182 (The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos), 182. The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Counc...",182,keyword_search,intermediate,"federal_structure, governance",legislative,,
What does the Constitution say about choose?,"According to Article 182 (The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choos), 182. The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Counc...",182,keyword_search,intermediate,"federal_structure, governance",choose,,
What is Article 183 of the Indian Constitution?,"Article 183 is titled 'Vacation and resignation of, and removal from, the offices of Chairman and Deputy Chairman A member holding office as Chairman or Deputy Chairman of a Legislative Council'. 183. Vacation and resignation of, and removal from, the offices of Chairman and Deputy Chairman A member...",183,overview,basic,governance,,,
What is the title of Article 183?,"Vacation and resignation of, and removal from, the offices of Chairman and Deputy Chairman A member holding office as Chairman or Deputy Chairman of a Legislative Council",183,title,basic,governance,,,
